Epoch,Index,Answer,Output,Error,Fact
1,1,0,[0.70393237],[-0.70393237],Bad Fact
1,2,0,[0.74311175],[-0.74311175],Bad Fact
1,3,1,[0.72288168],[0.27711832],Bad Fact
1,4,0,[0.75568286],[-0.75568286],Bad Fact
1,5,1,[0.64164681],[0.35835319],Bad Fact
1,6,1,[0.70682724],[0.29317276],Bad Fact
1,7,0,[0.7218397],[-0.7218397],Bad Fact
1,8,0,[0.68516852],[-0.68516852],Bad Fact
1,9,0,[0.58917499],[-0.58917499],Bad Fact
1,10,1,[0.50693515],[0.49306485],Bad Fact
1,11,1,[0.56610698],[0.43389302],Bad Fact
1,12,0,[0.61938888],[-0.61938888],Bad Fact
1,13,1,[0.55646483],[0.44353517],Bad Fact
1,14,0,[0.60592395],[-0.60592395],Bad Fact
1,15,0,[0.53400578],[-0.53400578],Bad Fact
1,16,1,[0.48448005],[0.51551995],Bad Fact
1,17,0,[0.55675925],[-0.55675925],Bad Fact
1,18,1,[0.48557342],[0.51442658],Bad Fact
1,19,1,[0.53093922],[0.46906078],Bad Fact
1,20,1,[0.55303857],[0.44696143],Bad Fact
1,21,1,[0.63746203],[0.36253797],Bad Fact
1,22,0,[0.69155329],[-0.69155329],Bad Fact
1,23,0,[0.57627562],[-0.57627562],Bad Fact
1,24,1,[0.51085057],[0.48914943],Bad Fact
1,25,0,[0.5778807],[-0.5778807],Bad Fact
1,26,1,[0.52090632],[0.47909368],Bad Fact
2,1,0,[0.54625223],[-0.54625223],Bad Fact
2,2,0,[0.52209516],[-0.52209516],Bad Fact
2,3,1,[0.46638906],[0.53361094],Bad Fact
2,4,0,[0.55168144],[-0.55168144],Bad Fact
2,5,1,[0.4693792],[0.5306208],Bad Fact
2,6,1,[0.52399143],[0.47600857],Bad Fact
2,7,0,[0.59420469],[-0.59420469],Bad Fact
2,8,0,[0.52521196],[-0.52521196],Bad Fact
2,9,0,[0.43459492],[-0.43459492],Bad Fact
2,10,1,[0.39012637],[0.60987363],Bad Fact
2,11,1,[0.45651581],[0.54348419],Bad Fact
2,12,0,[0.53315174],[-0.53315174],Bad Fact
2,13,1,[0.46007623],[0.53992377],Bad Fact
2,14,0,[0.54183917],[-0.54183917],Bad Fact
2,15,0,[0.47581804],[-0.47581804],Bad Fact
2,16,1,[0.42728178],[0.57271822],Bad Fact
2,17,0,[0.50960472],[-0.50960472],Bad Fact
2,18,1,[0.45257554],[0.54742446],Bad Fact
2,19,1,[0.49863805],[0.50136195],Bad Fact
2,20,1,[0.52124704],[0.47875296],Bad Fact
2,21,1,[0.60402472],[0.39597528],Bad Fact
2,22,0,[0.66367609],[-0.66367609],Bad Fact
2,23,0,[0.5480928],[-0.5480928],Bad Fact
2,24,1,[0.48418769],[0.51581231],Bad Fact
2,25,0,[0.55821738],[-0.55821738],Bad Fact
2,26,1,[0.5017533],[0.4982467],Bad Fact
3,1,0,[0.5349811],[-0.5349811],Bad Fact
3,2,0,[0.50412483],[-0.50412483],Bad Fact
3,3,1,[0.45142992],[0.54857008],Bad Fact
3,4,0,[0.53746921],[-0.53746921],Bad Fact
3,5,1,[0.46070251],[0.53929749],Bad Fact
3,6,1,[0.51293449],[0.48706551],Bad Fact
3,7,0,[0.58601207],[-0.58601207],Bad Fact
3,8,0,[0.51637415],[-0.51637415],Bad Fact
3,9,0,[0.42771714],[-0.42771714],Bad Fact
3,10,1,[0.38782688],[0.61217312],Bad Fact
3,11,1,[0.45053058],[0.54946942],Bad Fact
3,12,0,[0.52799656],[-0.52799656],Bad Fact
3,13,1,[0.45643157],[0.54356843],Bad Fact
3,14,0,[0.5373551],[-0.5373551],Bad Fact
3,15,0,[0.47223196],[-0.47223196],Bad Fact
3,16,1,[0.42640372],[0.57359628],Bad Fact
3,17,0,[0.50849685],[-0.50849685],Bad Fact
3,18,1,[0.45203813],[0.54796187],Bad Fact
3,19,1,[0.49789333],[0.50210667],Bad Fact
3,20,1,[0.51697006],[0.48302994],Bad Fact
3,21,1,[0.60184399],[0.39815601],Bad Fact
3,22,0,[0.66144474],[-0.66144474],Bad Fact
3,23,0,[0.54498742],[-0.54498742],Bad Fact
3,24,1,[0.48161373],[0.51838627],Bad Fact
3,25,0,[0.55708012],[-0.55708012],Bad Fact
3,26,1,[0.50327859],[0.49672141],Bad Fact
4,1,0,[0.53399868],[-0.53399868],Bad Fact
4,2,0,[0.50007412],[-0.50007412],Bad Fact
4,3,1,[0.4512266],[0.5487734],Bad Fact
4,4,0,[0.5363136],[-0.5363136],Bad Fact
4,5,1,[0.46102979],[0.53897021],Bad Fact
4,6,1,[0.51211448],[0.48788552],Bad Fact
4,7,0,[0.58516135],[-0.58516135],Bad Fact
4,8,0,[0.51599088],[-0.51599088],Bad Fact
4,9,0,[0.42785852],[-0.42785852],Bad Fact
4,10,1,[0.39073099],[0.60926901],Bad Fact
4,11,1,[0.44935869],[0.55064131],Bad Fact
4,12,0,[0.52700567],[-0.52700567],Bad Fact
4,13,1,[0.45735997],[0.54264003],Bad Fact
4,14,0,[0.53589627],[-0.53589627],Bad Fact
4,15,0,[0.47133755],[-0.47133755],Bad Fact
4,16,1,[0.42835772],[0.57164228],Bad Fact
4,17,0,[0.50987791],[-0.50987791],Bad Fact
4,18,1,[0.45321315],[0.54678685],Bad Fact
4,19,1,[0.49878894],[0.50121106],Bad Fact
4,20,1,[0.5138759],[0.4861241],Bad Fact
4,21,1,[0.60135627],[0.39864373],Bad Fact
4,22,0,[0.66060612],[-0.66060612],Bad Fact
4,23,0,[0.54300338],[-0.54300338],Bad Fact
4,24,1,[0.48010248],[0.51989752],Bad Fact
4,25,0,[0.55694572],[-0.55694572],Bad Fact
4,26,1,[0.50608229],[0.49391771],Bad Fact
5,1,0,[0.53346612],[-0.53346612],Bad Fact
5,2,0,[0.4964392],[-0.4964392],Bad Fact
5,3,1,[0.45174832],[0.54825168],Bad Fact
5,4,0,[0.53580194],[-0.53580194],Bad Fact
5,5,1,[0.46185744],[0.53814256],Bad Fact
5,6,1,[0.51182404],[0.48817596],Bad Fact
5,7,0,[0.58466528],[-0.58466528],Bad Fact
5,8,0,[0.5159377],[-0.5159377],Bad Fact
5,9,0,[0.42830595],[-0.42830595],Bad Fact
5,10,1,[0.39407338],[0.60592662],Bad Fact
5,11,1,[0.4482313],[0.5517687],Bad Fact
5,12,0,[0.52620517],[-0.52620517],Bad Fact
5,13,1,[0.45861602],[0.54138398],Bad Fact
5,14,0,[0.5345189],[-0.5345189],Bad Fact
5,15,0,[0.47056235],[-0.47056235],Bad Fact
5,16,1,[0.43056955],[0.56943045],Bad Fact
5,17,0,[0.51156278],[-0.51156278],Bad Fact
5,18,1,[0.45460413],[0.54539587],Bad Fact
5,19,1,[0.49983666],[0.50016334],Bad Fact
5,20,1,[0.51059765],[0.48940235],Bad Fact
5,21,1,[0.60105005],[0.39894995],Bad Fact
5,22,0,[0.65991661],[-0.65991661],Bad Fact
5,23,0,[0.54091479],[-0.54091479],Bad Fact
5,24,1,[0.47850239],[0.52149761],Bad Fact
5,25,0,[0.5569479],[-0.5569479],Bad Fact
5,26,1,[0.50924227],[0.49075773],Bad Fact
6,1,0,[0.53288511],[-0.53288511],Bad Fact
6,2,0,[0.4925028],[-0.4925028],Bad Fact
6,3,1,[0.45229765],[0.54770235],Bad Fact
6,4,0,[0.53531308],[-0.53531308],Bad Fact
6,5,1,[0.46277066],[0.53722934],Bad Fact
6,6,1,[0.51158641],[0.48841359],Bad Fact
6,7,0,[0.58416579],[-0.58416579],Bad Fact
6,8,0,[0.5157855],[-0.5157855],Bad Fact
6,9,0,[0.42871422],[-0.42871422],Bad Fact
6,10,1,[0.39763072],[0.60236928],Bad Fact
6,11,1,[0.44687299],[0.55312701],Bad Fact
6,12,0,[0.52538903],[-0.52538903],Bad Fact
6,13,1,[0.45999637],[0.54000363],Bad Fact
6,14,0,[0.53306841],[-0.53306841],Bad Fact
6,15,0,[0.46978245],[-0.46978245],Bad Fact
6,16,1,[0.43291573],[0.56708427],Bad Fact
6,17,0,[0.51346679],[-0.51346679],Bad Fact
6,18,1,[0.45616248],[0.54383752],Bad Fact
6,19,1,[0.50097335],[0.49902665],Bad Fact
6,20,1,[0.50703854],[0.49296146],Bad Fact
6,21,1,[0.60086758],[0.39913242],Bad Fact
6,22,0,[0.65933731],[-0.65933731],Bad Fact
6,23,0,[0.53863858],[-0.53863858],Bad Fact
6,24,1,[0.47673631],[0.52326369],Bad Fact
6,25,0,[0.55705475],[-0.55705475],Bad Fact
6,26,1,[0.51275002],[0.48724998],Bad Fact
7,1,0,[0.53222661],[-0.53222661],Bad Fact
7,2,0,[0.48818517],[-0.48818517],Bad Fact
7,3,1,[0.45283415],[0.54716585],Bad Fact
7,4,0,[0.53481594],[-0.53481594],Bad Fact
7,5,1,[0.46375696],[0.53624304],Bad Fact
7,6,1,[0.51138675],[0.48861325],Bad Fact
7,7,0,[0.58363675],[-0.58363675],Bad Fact
7,8,0,[0.51548655],[-0.51548655],Bad Fact
7,9,0,[0.42905405],[-0.42905405],Bad Fact
7,10,1,[0.40140545],[0.59859455],Bad Fact
7,11,1,[0.44522981],[0.55477019],Bad Fact
7,12,0,[0.52453951],[-0.52453951],Bad Fact
7,13,1,[0.46149813],[0.53850187],Bad Fact
7,14,0,[0.53153042],[-0.53153042],Bad Fact
7,15,0,[0.46899872],[-0.46899872],Bad Fact
7,16,1,[0.43539409],[0.56460591],Bad Fact
7,17,0,[0.51561083],[-0.51561083],Bad Fact
7,18,1,[0.45791466],[0.54208534],Bad Fact
7,19,1,[0.502208],[0.497792],Bad Fact
7,20,1,[0.50316703],[0.49683297],Bad Fact
7,21,1,[0.60082552],[0.39917448],Bad Fact
7,22,0,[0.65889197],[-0.65889197],Bad Fact
7,23,0,[0.53614918],[-0.53614918],Bad Fact
7,24,1,[0.47478177],[0.52521823],Bad Fact
7,25,0,[0.55727731],[-0.55727731],Bad Fact
7,26,1,[0.51664288],[0.48335712],Bad Fact
8,1,0,[0.53148603],[-0.53148603],Bad Fact
8,2,0,[0.48343998],[-0.48343998],Bad Fact
8,3,1,[0.4533493],[0.5466507],Bad Fact
8,4,0,[0.53430878],[-0.53430878],Bad Fact
8,5,1,[0.46482452],[0.53517548],Bad Fact
8,6,1,[0.51123499],[0.48876501],Bad Fact
8,7,0,[0.58306801],[-0.58306801],Bad Fact
8,8,0,[0.51500926],[-0.51500926],Bad Fact
8,9,0,[0.42931178],[-0.42931178],Bad Fact
8,10,1,[0.40541094],[0.59458906],Bad Fact
8,11,1,[0.44325794],[0.55674206],Bad Fact
8,12,0,[0.52364758],[-0.52364758],Bad Fact
8,13,1,[0.46312607],[0.53687393],Bad Fact
8,14,0,[0.52989787],[-0.52989787],Bad Fact
8,15,0,[0.46822037],[-0.46822037],Bad Fact
8,16,1,[0.43800636],[0.56199364],Bad Fact
8,17,0,[0.51802053],[-0.51802053],Bad Fact
8,18,1,[0.45989266],[0.54010734],Bad Fact
8,19,1,[0.50355343],[0.49644657],Bad Fact
8,20,1,[0.49895695],[0.50104305],Bad Fact
8,21,1,[0.60094465],[0.39905535],Bad Fact
8,22,0,[0.65860839],[-0.65860839],Bad Fact
8,23,0,[0.53342425],[-0.53342425],Bad Fact
8,24,1,[0.47262023],[0.52737977],Bad Fact
8,25,0,[0.5576292],[-0.5576292],Bad Fact
8,26,1,[0.52095878],[0.47904122],Bad Fact
9,1,0,[0.5306609],[-0.5306609],Bad Fact
9,2,0,[0.47822523],[-0.47822523],Bad Fact
9,3,1,[0.45383477],[0.54616523],Bad Fact
9,4,0,[0.53379073],[-0.53379073],Bad Fact
9,5,1,[0.46598266],[0.53401734],Bad Fact
9,6,1,[0.51114366],[0.48885634],Bad Fact
9,7,0,[0.58244933],[-0.58244933],Bad Fact
9,8,0,[0.51431991],[-0.51431991],Bad Fact
9,9,0,[0.42947437],[-0.42947437],Bad Fact
9,10,1,[0.40965998],[0.59034002],Bad Fact
9,11,1,[0.44091434],[0.55908566],Bad Fact
9,12,0,[0.52270364],[-0.52270364],Bad Fact
9,13,1,[0.46488194],[0.53511806],Bad Fact
9,14,0,[0.5281644],[-0.5281644],Bad Fact
9,15,0,[0.46745904],[-0.46745904],Bad Fact
9,16,1,[0.44075156],[0.55924844],Bad Fact
9,17,0,[0.5207201],[-0.5207201],Bad Fact
9,18,1,[0.46212998],[0.53787002],Bad Fact
9,19,1,[0.50502247],[0.49497753],Bad Fact
9,20,1,[0.49438554],[0.50561446],Bad Fact
9,21,1,[0.60124548],[0.39875452],Bad Fact
9,22,0,[0.65851443],[-0.65851443],Bad Fact
9,23,0,[0.5304426],[-0.5304426],Bad Fact
9,24,1,[0.47023517],[0.52976483],Bad Fact
9,25,0,[0.5581241],[-0.5581241],Bad Fact
9,26,1,[0.52573223],[0.47426777],Bad Fact
10,1,0,[0.52975004],[-0.52975004],Bad Fact
10,2,0,[0.47250363],[-0.47250363],Bad Fact
10,3,1,[0.45428088],[0.54571912],Bad Fact
10,4,0,[0.53326016],[-0.53326016],Bad Fact
10,5,1,[0.46724058],[0.53275942],Bad Fact
10,6,1,[0.51112659],[0.48887341],Bad Fact
10,7,0,[0.58176965],[-0.58176965],Bad Fact
10,8,0,[0.51338227],[-0.51338227],Bad Fact
10,9,0,[0.4295291],[-0.4295291],Bad Fact
10,10,1,[0.41416356],[0.58583644],Bad Fact
10,11,1,[0.43815818],[0.56184182],Bad Fact
10,12,0,[0.52169697],[-0.52169697],Bad Fact
10,13,1,[0.46676305],[0.53323695],Bad Fact
10,14,0,[0.52632421],[-0.52632421],Bad Fact
10,15,0,[0.46672857],[-0.46672857],Bad Fact
10,16,1,[0.44362491],[0.55637509],Bad Fact
10,17,0,[0.52373091],[-0.52373091],Bad Fact
10,18,1,[0.46466051],[0.53533949],Bad Fact
10,19,1,[0.50662729],[0.49337271],Bad Fact
10,20,1,[0.48943475],[0.51056525],Bad Fact
10,21,1,[0.60174709],[0.39825291],Bad Fact
10,22,0,[0.65863657],[-0.65863657],Bad Fact
10,23,0,[0.52718519],[-0.52718519],Bad Fact
10,24,1,[0.46761288],[0.53238712],Bad Fact
10,25,0,[0.55877495],[-0.55877495],Bad Fact
10,26,1,[0.5309922],[0.4690078],Bad Fact
11,1,0,[0.52875379],[-0.52875379],Bad Fact
11,2,0,[0.46624496],[-0.46624496],Bad Fact
11,3,1,[0.45467672],[0.54532328],Bad Fact
11,4,0,[0.53271453],[-0.53271453],Bad Fact
11,5,1,[0.46860699],[0.53139301],Bad Fact
11,6,1,[0.5111987],[0.4888013],Bad Fact
11,7,0,[0.58101712],[-0.58101712],Bad Fact
11,8,0,[0.51215858],[-0.51215858],Bad Fact
11,9,0,[0.42946407],[-0.42946407],Bad Fact
11,10,1,[0.41892997],[0.58107003],Bad Fact
11,11,1,[0.43495323],[0.56504677],Bad Fact
11,12,0,[0.52061581],[-0.52061581],Bad Fact
11,13,1,[0.46876156],[0.53123844],Bad Fact
11,14,0,[0.52437239],[-0.52437239],Bad Fact
11,15,0,[0.46604475],[-0.46604475],Bad Fact
11,16,1,[0.44661733],[0.55338267],Bad Fact
11,17,0,[0.52707019],[-0.52707019],Bad Fact
11,18,1,[0.46751737],[0.53248263],Bad Fact
11,19,1,[0.50837882],[0.49162118],Bad Fact
11,20,1,[0.48409284],[0.51590716],Bad Fact
11,21,1,[0.60246602],[0.39753398],Bad Fact
11,22,0,[0.65899855],[-0.65899855],Bad Fact
11,23,0,[0.5236363],[-0.5236363],Bad Fact
11,24,1,[0.46474338],[0.53525662],Bad Fact
11,25,0,[0.55959312],[-0.55959312],Bad Fact
11,26,1,[0.53675996],[0.46324004],Bad Fact
12,1,0,[0.52767437],[-0.52767437],Bad Fact
12,2,0,[0.45942871],[-0.45942871],Bad Fact
12,3,1,[0.45501046],[0.54498954],Bad Fact
12,4,0,[0.53215022],[-0.53215022],Bad Fact
12,5,1,[0.47008979],[0.52991021],Bad Fact
12,6,1,[0.51137566],[0.48862434],Bad Fact
12,7,0,[0.58017923],[-0.58017923],Bad Fact
12,8,0,[0.51061102],[-0.51061102],Bad Fact
12,9,0,[0.42926898],[-0.42926898],Bad Fact
12,10,1,[0.42396394],[0.57603606],Bad Fact
12,11,1,[0.43127051],[0.56872949],Bad Fact
12,12,0,[0.51944752],[-0.51944752],Bad Fact
12,13,1,[0.47086392],[0.52913608],Bad Fact
12,14,0,[0.52230515],[-0.52230515],Bad Fact
12,15,0,[0.46542497],[-0.46542497],Bad Fact
12,16,1,[0.44971492],[0.55028508],Bad Fact
12,17,0,[0.53074969],[-0.53074969],Bad Fact
